Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Transmission,Price,Gov,price_category
Chevrolet,Aveo,Sedan,Burgundy,2018,Benzine,80000 to 89999,1400 - 1500 CC,Automatic,190.0,Cairo,1
Fiat,Shahin,Sedan,White,1998,Benzine,40000 to 49999,1400 - 1500 CC,Manual,28.0,Monufia,0
Chevrolet,Lanos,Sedan,Other Color,2018,Benzine,120000 to 139999,1400 - 1500 CC,Manual,138.0,Giza,1
Hyundai,Verna,Sedan,Other Color,2006,Benzine,More than 200000,1400 - 1500 CC,Manual,95.0,Gharbia,0
Fiat,Punto,Hatchback,White,2001,Benzine,0 to 9999,1000 - 1300 CC,Manual,75.0,Gharbia,0
Fiat,128,Sedan,Gray,1987,Benzine,180000 to 199999,1000 - 1300 CC,Manual,20.0,Sharqia,0
Fiat,Punto,Hatchback,Burgundy,1996,Benzine,100000 to 119999,1000 - 1300 CC,Manual,55.0,Giza,0
Chevrolet,Optra,Sedan,Black,2012,Benzine,10000 to 19999,1600 CC,Automatic,161.0,Beheira,1
Fiat,Uno,Hatchback,White,1993,Benzine,100000 to 119999,1000 - 1300 CC,Manual,43.0,Damietta,0
Fiat,128,Sedan,White,1980,Benzine,100000 to 119999,1000 - 1300 CC,Manual,15.0,Giza,0
Chevrolet,Aveo,Sedan,Blue- Navy Blue,2020,Benzine,50000 to 59999,1400 - 1500 CC,Automatic,215.0,Alexandria,2
Chevrolet,Lanos,Sedan,Gray,2014,Benzine,140000 to 159999,1400 - 1500 CC,Manual,110.0,Giza,1
Hyundai,Elantra,Sedan,Black,2019,Benzine,50000 to 59999,1600 CC,Automatic,185.6,Cairo,1
Chevrolet,Lanos,Sedan,Silver,2013,Benzine,10000 to 19999,1400 - 1500 CC,Manual,110.0,Dakahlia,1
Hyundai,Verna,Sedan,Burgundy,2017,Benzine,80000 to 89999,1600 CC,Manual,152.9,Cairo,1
Chevrolet,Aveo,Sedan,Red,2017,Benzine,90000 to 99999,1400 - 1500 CC,Automatic,184.0,Alexandria,1
Fiat,Shahin,Sedan,Silver,2006,Benzine,50000 to 59999,1400 - 1500 CC,Manual,45.0,Minya,0
Hyundai,Verna,Sedan,White,2015,Natural Gas,More than 200000,1600 CC,Manual,134.6,Giza,1
